kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 5761 : 200704 2718952 0 0 0 0 0 0 0 
_1.ptx 5762 : 200704 28449372 616224 0 0 11368 5880 0 0 
_1.ptx 5763 : 200704 1485812 0 0 0 0 0 0 0 
_1.ptx 5764 : 200704 2675488 0 0 0 0 0 0 0 
_1.ptx 5765 : 200704 26114308 615776 0 0 11368 5880 0 0 
_1.ptx 5766 : 200704 1304240 0 0 0 0 0 0 0 
_1.ptx 5767 : 200704 4226204 0 0 0 0 0 0 0 
_1.ptx 5768 : 200704 1691736 0 0 0 0 0 0 0 
_1.ptx 5769 : 200704 0 0 0 0 0 0 0 0 
_1.ptx 5770 : 200704 1349236 0 0 0 0 0 0 0 
_1.ptx 32963 : 36 216 0 0 0 0 0 0 0 
_1.ptx 32964 : 36 252 0 0 0 0 0 0 0 
_1.ptx 32965 : 36 684 0 0 0 0 0 0 0 
_1.ptx 32966 : 36 11520 128 0 0 0 0 0 0 
_1.ptx 32967 : 36 468 0 0 0 0 0 0 0 
_1.ptx 32968 : 36 108 0 0 0 0 0 0 0 
_1.ptx 32969 : 36 468 0 0 0 0 0 0 0 
_1.ptx 32970 : 36 108 0 0 0 0 0 0 0 
_1.ptx 32971 : 36 504 0 0 0 0 0 0 0 
_1.ptx 32972 : 36 108 0 0 0 0 0 0 0 
_1.ptx 32974 : 36 216 0 0 0 0 0 0 0 
_1.ptx 32975 : 36 216 0 0 0 0 0 0 0 
_1.ptx 32976 : 36 216 0 0 0 0 0 0 0 
_1.ptx 32977 : 36 252 0 0 0 0 0 0 0 
_1.ptx 32978 : 36 252 0 0 0 0 0 0 0 
_1.ptx 32979 : 36 252 0 0 0 0 0 0 0 
_1.ptx 32980 : 36 216 0 0 0 0 0 0 0 
_1.ptx 32982 : 8136 56952 0 0 0 0 0 0 0 
_1.ptx 32983 : 8136 56952 0 0 0 0 0 0 0 
_1.ptx 32984 : 8136 48816 0 0 0 0 0 0 0 
_1.ptx 32986 : 130176 22791348 256 0 0 3616 3616 0 0 
_1.ptx 32987 : 130176 23051700 0 0 0 3616 3616 0 0 
_1.ptx 32988 : 130176 23312052 0 0 0 3616 3616 0 0 
_1.ptx 32989 : 130176 23572404 0 0 0 3616 3616 0 0 
_1.ptx 32990 : 130176 911232 0 0 0 0 0 0 0 
_1.ptx 32991 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 32992 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 32993 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 32994 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 32995 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 32996 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 32997 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 32998 : 130176 911232 0 0 0 0 0 0 0 
_1.ptx 32999 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33000 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 33001 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33002 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 33003 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33004 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 33005 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 5847 : 200704 1327056 0 0 0 0 0 0 0 
_1.ptx 33006 : 130176 911232 0 0 0 0 0 0 0 
_1.ptx 33007 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33008 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 33009 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33010 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 33011 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33012 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 33013 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33014 : 130176 911232 0 0 0 0 0 0 0 
_1.ptx 33015 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33016 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 33017 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33018 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 33019 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33020 : 130176 919332 0 0 0 0 0 0 0 
_1.ptx 33021 : 130176 1033308 0 0 0 0 0 0 0 
_1.ptx 33022 : 130176 24643980 1792 0 0 7232 3616 0 0 
_1.ptx 33023 : 130176 26108532 256 0 0 7232 3616 0 0 
_1.ptx 33024 : 130176 27376560 128 0 0 7232 3616 0 0 
_1.ptx 33025 : 130176 28048248 128 0 0 7232 3616 0 0 
